date,close,volume,open,high,low,DoJ Index,Nasdaq Index,P/E ratio,Wiki Traffic,Stochastic Oscillator,Stochastic_Move,William %R,RSI,RSI_Move,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_RSI,Wiki_RSI_Move,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_RSI,Google_RSI_Move,Target1,Target2,Target3,Target4,Target5
12/17/14,109.410004,53411800,107.120003,109.839996,106.82,17356.87,4644.310059,17.02,28662,23.97261796,1,-76.02738204,27.11219449,1,27723,27494,27315.25,27552.8,27141,26914.28571,26864.25,26518.44444,26351.6,27764.16667,27445.2,26771.67273,104.2481996,104.0257252,108.7675891,100.557836,159,0.557836017,1,1,1,1,0,73.76526819,1,1525,1500,1467.5,1460,1438.333333,1452.857143,1451.25,1456.666667,1459,1491.666667,1458.666667,1473.727273,102.6666667,105.4794521,105.5517478,107.6923077,110,7.142857143,1,1,1,0,0,81.81818182,1,1,1,1,1,1
12/18/14,112.650002,59006200,111.870003,112.650002,110.660004,17778.15,4748.399902,17.53,24975,49.19169349,1,-50.80830651,36.98176742,1,26818.5,26807,26864.25,26847.2,27123.16667,26831.57143,26671.875,26654.33333,26364.1,26234.5,26693.53333,26111.53636,93.16596411,93.02646086,94.73109266,93.26337802,-1804,-6.73662198,0,0,0,0,0,27.37881508,0,1540,1530,1510,1482,1473.333333,1452.857143,1463.75,1461.111111,1465,1520,1486.666667,1478.636364,100.6535948,103.9136302,105.1194539,112.4087591,170,13.07692308,1,1,1,0,1,73.91304348,0,0,1,0,0,1
12/19/14,111.779999,88429800,112.260002,113.239998,111.660004,17804.8,4765.379883,17.39,21771,50.45703403,1,-49.54296597,42.21486281,1,23373,25136,25548,25845.6,26001.16667,26358.57143,26199,26127.33333,26166,24289,25155.13333,25366.90909,86.61282623,84.23484075,83.20339372,80.52596538,-5265,-19.47403462,0,0,0,0,0,23.01142488,0,1455,1483.333333,1490,1482,1463.333333,1458.571429,1442.5,1453.333333,1452,1450,1444.666667,1437.090909,92.35955056,92.44264507,94.35261708,94.48275862,-80,-5.594405594,0,0,0,0,0,50,0,1,0,1,1,0
12/22/14,112.940002,45167500,112.160004,113.489998,111.970001,17959.44,4781.419922,17.57,19082,61.06035697,1,-38.93964303,46.13273685,1,20426.5,21942.66667,23622.5,24254.8,24718.33333,25012.71429,25449,25408.22222,25422.8,22109,23591.06667,24269.92727,86.96299447,78.67308739,75.05860881,71.24402628,-7702,-28.75597372,0,0,0,1,0,16.03757472,0,1410,1453.333333,1475,1482,1476.666667,1461.428571,1457.5,1443.333333,1453,1466.666667,1471.333333,1452.454545,99.7706422,97.84075574,99.79353063,96.02649007,-60,-3.896103896,1,0,1,1,1,50,1,1,1,0,1,0
12/23/14,112.540001,26028400,113.230003,113.330002,112.459999,18024.17,4765.419922,17.51,18809,57.40403903,0,-42.59596097,41.90931451,0,18945.5,19887.33333,21159.25,22659.8,23347.16667,23874.14286,24237.25,24711.22222,24748.3,20375.83333,22439.53333,23668.42727,94.57778821,83.0060283,76.00117988,65.62347359,-9853,-34.37652641,0,0,0,1,0,16.0088654,0,1445,1420,1450,1468,1475,1471.428571,1458.75,1455.555556,1443,1446.666667,1468,1442.454545,101.4084507,98.09264305,99.79209979,93.50649351,-100,-6.756756757,0,0,0,1,0,37.93103448,0,1,0,0,0,0
12/24/14,112.010002,14479600,112.580002,112.709999,112.010002,18030.21,4773.470215,17.43,17160,58.55397149,1,-41.44602851,41.73005067,0,17984.5,18350.33333,19205.5,20359.4,21743.16667,22463.28571,23034.875,23450.88889,23956.1,18523.66667,20826.53333,22720.44545,93.51328768,84.28539151,71.63102508,68.70870871,-7815,-31.29129129,0,0,0,0,1,0,0,1490,1476.666667,1450,1468,1480,1484.285714,1480,1467.777778,1464,1480,1492,1477.818182,104.2889391,104.9046322,105.1912568,100,0,0,1,1,1,1,1,50,1,1,0,1,1,1
12/26/14,113.989998,33721000,112.099998,114.519997,112.010002,18053.71,4806.859863,17.73,18339,89.98835389,1,-10.01164611,47.75854032,1,17749.5,18102.66667,18347.5,19032.2,20022.66667,21256.85714,21947.75,22513.11111,22939.7,18344.66667,19685.93333,22103.20909,101.3055167,96.3577516,79.94437591,84.23591016,-3432,-15.76408984,1,0,0,1,1,13.10873916,1,774.5,996.3333333,1109.75,1161.8,1224.833333,1269.857143,1299.875,1316.555556,1321.9,742.8333333,981.6666667,1083.190909,0.903312145,0.77466001,0.680838187,0.656934307,-1361,-94.51388889,0,0,0,0,0,9.518773136,0,0,1,0,1,0
12/29/14,113.910004,27598900,113.790001,114.769997,113.699997,18038.23,4806.910156,17.72,19361,89.05710783,0,-10.94289217,53.77311806,1,18850,18286.66667,18417.25,18550.2,19087,19928.14286,21019.875,21660.33333,22197.9,18731.83333,19141.8,21682.1,105.8749544,104.3708424,87.21996225,101.4621109,279,1.46211089,1,1,0,1,1,32.3106283,1,734.5,1003,1112.25,1179.8,1211.5,1258.428571,1293.625,1317.666667,1330.9,1228.166667,1261.2,1354.372727,145.5633101,123.7497881,109.7002029,100.6896552,10,0.649350649,1,1,1,1,1,51.4186633,1,0,0,0,0,1
12/30/14,112.519997,29881500,113.639999,113.919998,112.110001,17983.07,4777.439941,17.51,20442,72.87541228,0,-27.12458772,45.93494576,0,19901.5,19380.66667,18825.5,18822.2,18865.5,19280.57143,19992.375,20955.66667,21538.5,19364.33333,19180.8,21339.13636,105.4762478,108.6057953,94.90911623,108.6820139,1633,8.68201393,1,1,1,0,1,63.06687164,1,1480,989.6666667,1127.25,1189.8,1233.166667,1252.714286,1288.625,1316.555556,1335.9,1251.5,1286.533333,1365.736364,151.5661839,126.0716087,112.2838536,104.1666667,60,4.511278195,1,0,1,1,1,50.79821201,0,1,0,0,0,1
12/31/14,110.379997,41403400,112.82,113.129997,110.209999,17823.07,4736.049805,14.88,18617,48.41360071,0,-51.58639929,46.00508947,1,19529.5,19473.33333,19189.75,18783.8,18788,18830,19197.625,19839.55556,20721.8,18998.83333,18753.8,20339.10909,95.60253338,99.11200077,89.84258124,108.490676,1457,8.490675991,0,1,0,0,0,48.57904085,0,1520,1500,1127.25,1209.8,1248.166667,1277,1288.625,1316.555556,1338.9,1264.833333,1306.533333,1375.463636,102.6666667,127.2937676,115.0197924,100,0,0,1,1,1,0,0,51.58127767,1,1,0,0,0,1
